Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,IsActive,EndDate,CustomerTenureDays,total_flights,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_cost_redeemed,points_redemption_ratio,companion_flight_ratio
480934,Cecilia,Householder,Cecilia Householder,Canada,Ontario,Toronto,43.653225,-79.383186,M2Z 4K1,female,Bachelor,Urban,70146.0,Married,Star,2019-02-15,,3839.14,Standard,1,2025-10-13,2432,216,53,507054.9,50699.39,13517.9,134.6,0.26662845450408773,0.24537037037037038
549612,Dayle,Menez,Dayle Menez,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,male,College,Rural,0.0,Divorced,Star,2019-03-09,,3839.61,Standard,1,2025-10-13,2410,286,30,426827.4,42672.54,22457.8,221.4,0.526282241460199,0.1048951048951049
429460,Necole,Hannon,Necole Hannon,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,male,College,Urban,0.0,Single,Star,2017-07-14,2021-01-08,3839.75,Standard,0,2021-01-08,1274,143,37,238376.1,23832.41,5479.6,53.2,0.22992219418850215,0.25874125874125875
608370,Queen,Hagee,Queen Hagee,Canada,Ontario,Toronto,43.653225,-79.383186,P1W 1K4,male,College,Suburban,0.0,Single,Star,2016-02-17,,3839.75,Standard,1,2025-10-13,3526,198,55,386029.3,38595.63,16331.5,162.2,0.4231437600578097,0.2777777777777778
530508,Claire,Latting,Claire Latting,Canada,Quebec,Hull,45.42873,-75.713364,J8Y 3Z5,male,Bachelor,Suburban,97832.0,Married,Star,2017-10-25,,3842.79,2021 Promotion,1,2025-10-13,2910,201,59,369242.6,36916.56,0.0,0.0,0.0,0.2935323383084577
927943,Hue,Sellner,Hue Sellner,Canada,Ontario,Toronto,43.653225,-79.383186,P5S 6R4,female,College,Urban,0.0,Single,Star,2017-06-09,,3857.95,Standard,1,2025-10-13,3048,206,32,519316.7,51924.87,21597.7,214.4,0.4159413398627671,0.1553398058252427
188893,Nakia,Cash,Nakia Cash,Canada,Ontario,Trenton,44.101128,-77.576309,K8V 4B2,male,Bachelor,Suburban,93272.0,Married,Star,2019-12-08,,3861.49,Standard,1,2025-10-13,2136,211,63,429297.5,42923.85,7877.9,78.5,0.18353199911005186,0.2985781990521327
852392,Arlene,Conterras,Arlene Conterras,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,female,Bachelor,Suburban,93272.0,Married,Star,2018-05-30,,3861.49,Standard,1,2025-10-13,2693,146,53,354477.9,35441.79,19443.6,192.1,0.5486066025446231,0.363013698630137
866307,Dustin,Recine,Dustin Recine,Canada,Ontario,Toronto,43.653225,-79.383186,M8Y 4K8,male,Bachelor,Suburban,93272.0,Married,Star,2019-10-14,,3861.49,Standard,1,2025-10-13,2191,219,66,304401.1,30432.81,21525.4,212.5,0.7073089865838876,0.3013698630136986
932823,Jeremy,Dickason,Jeremy Dickason,Canada,British Columbia,Vancouver,49.28273,-123.12074,V6E 3D9,female,Bachelor,Suburban,47199.0,Married,Star,2018-03-17,,3863.31,Standard,1,2025-10-13,2767,236,52,431374.6,43128.26,7655.1,76.0,0.17749614753760062,0.22033898305084745
144514,Belkis,Siurek,Belkis Siurek,Canada,British Columbia,Dawson Creek,55.759628,-120.23766,U5I 4F1,female,Bachelor,Urban,24204.0,Married,Star,2019-06-11,,3864.78,Standard,1,2025-10-13,2316,160,50,377043.4,37694.74,13026.0,128.0,0.3455654555516234,0.3125
611765,Marjorie,Pangelina,Marjorie Pangelina,Canada,Quebec,Quebec City,46.813877,-71.207977,G1B 3L5,male,Bachelor,Suburban,79628.0,Single,Star,2021-01-28,,3867.97,Standard,1,2025-10-13,1719,86,22,172074.0,17203.0,3453.0,34.0,0.20072080451084112,0.2558139534883721
988178,Andre,Cotugno,Andre Cotugno,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Single,Star,2016-10-13,,3871.07,Standard,1,2025-10-13,3287,309,86,557976.5,55788.05,14951.1,147.4,0.26799825410639017,0.2783171521035599
286114,Vikki,Rengers,Vikki Rengers,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 7K8,female,College,Rural,0.0,Single,Star,2019-11-29,,3872.22,Standard,1,2025-10-13,2145,182,51,417477.6,41743.26,25912.1,256.5,0.6207493137814344,0.2802197802197802
205785,Johnathan,Cannizzaro,Johnathan Cannizzaro,Canada,Ontario,Toronto,43.653225,-79.383186,M2M 6J7,male,Master,Rural,28142.0,Married,Star,2019-08-25,,3873.65,Standard,1,2025-10-13,2241,193,65,392065.8,39200.78,19419.9,191.9,0.4953957548803876,0.33678756476683935
735304,Lang,Privatsky,Lang Privatsky,Canada,Alberta,Edmonton,53.544388,-113.49093,T3G 6Y6,female,Master,Urban,28142.0,Married,Star,2019-12-06,,3873.65,Standard,1,2025-10-13,2138,126,29,390214.8,39010.28,13087.9,130.0,0.3354987454588893,0.23015873015873015
438936,Bernie,Schlagel,Bernie Schlagel,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 2W2,male,Bachelor,Rural,84981.0,Married,Star,2016-10-30,,3878.77,Standard,1,2025-10-13,3270,275,51,462129.8,46205.88,4030.0,40.0,0.08721833671385547,0.18545454545454546
243713,Doloris,Buben,Doloris Buben,Canada,New Brunswick,Moncton,46.087818,-64.778229,E1A 2A7,female,College,Rural,0.0,Married,Star,2021-02-09,,3883.4,2021 Promotion,1,2025-10-13,1707,204,49,388906.4,38883.94,0.0,0.0,0.0,0.24019607843137256
354730,Herbert,Cantabrana,Herbert Cantabrana,Canada,New Brunswick,Fredericton,45.963589,-66.643112,E3B 2H2,female,College,Urban,0.0,Married,Star,2017-10-23,2021-01-02,3885.46,Standard,0,2021-01-02,1167,133,48,297077.4,29703.54,0.0,0.0,0.0,0.3609022556390977
413741,Mitchell,Hinchliff,Mitchell Hinchliff,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,College,Urban,0.0,Married,Star,2018-07-30,,3885.46,Standard,1,2025-10-13,2632,185,67,289750.1,28970.01,25986.4,255.9,0.8970103910906486,0.3621621621621622
552965,Lia,Broome,Lia Broome,Canada,Quebec,Montreal,45.50169,-73.567253,H4G 3T4,male,College,Rural,0.0,Married,Star,2021-11-18,,3885.46,Standard,1,2025-10-13,1425,11,6,21013.0,2101.0,0.0,0.0,0.0,0.5454545454545454
642313,Michel,Theuret,Michel Theuret,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Suburban,0.0,Married,Star,2019-03-22,,3885.46,Standard,1,2025-10-13,2397,172,58,410837.6,41074.36,23104.0,228.0,0.5624920266560453,0.3372093023255814
263080,Tracy,Hergenreter,Tracy Hergenreter,Canada,Alberta,Edmonton,53.544388,-113.49093,T9G 1W3,male,College,Urban,0.0,Single,Star,2017-05-21,,3886.5,Standard,1,2025-10-13,3067,140,35,241803.6,24173.36,2626.0,26.0,0.1086319816525299,0.25
109767,Ami,Grosbier,Ami Grosbier,Canada,Ontario,Toronto,43.653225,-79.383186,M1R 4K3,female,Bachelor,Suburban,78108.0,Single,Star,2019-05-21,,3886.65,Standard,1,2025-10-13,2337,224,60,514489.0,51440.4,22943.8,227.6,0.446026858267043,0.26785714285714285
217754,Mitzi,Roaoo,Mitzi Roaoo,Canada,Quebec,Montreal,45.50169,-73.567253,H2Y 4R4,female,Bachelor,Urban,96335.0,Single,Star,2018-06-20,,3887.32,Standard,1,2025-10-13,2672,171,21,362230.8,36215.78,0.0,0.0,0.0,0.12280701754385964
157005,Tanika,Quire,Tanika Quire,Canada,British Columbia,Vancouver,49.28273,-123.12074,V5R 1W3,male,Bachelor,Rural,91182.0,Married,Star,2019-10-31,,3890.87,Standard,1,2025-10-13,2174,249,77,525735.1,52564.71,7257.0,71.0,0.13805840458360752,0.3092369477911647
557752,Sherilyn,Fujikawa,Sherilyn Fujikawa,Canada,Ontario,Toronto,43.653225,-79.383186,P1L 8X8,female,Bachelor,Suburban,91182.0,Married,Star,2020-10-09,,3890.87,Standard,1,2025-10-13,1830,112,31,223762.4,22370.44,11202.0,111.0,0.5007500970030093,0.2767857142857143
608758,Rhona,Interiano,Rhona Interiano,Canada,Ontario,Ottawa,45.421532,-75.697189,K1F 2R2,male,Bachelor,Rural,43578.0,Married,Star,2016-07-15,,3890.96,Standard,1,2025-10-13,3377,177,55,359437.0,35937.1,0.0,0.0,0.0,0.3107344632768362
